TITLE,MoSe2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,26/01/20
TIME,16:29:21
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   91.5759
LASTX,  754.4042
NPOINTS,    1024
XYDATA
748.0048,175.5
748.5872,174
749.1694,176
749.7516,176
750.3336,176
750.9155,176.5
751.4973,176
752.0789,176
752.6604,175
753.2418,175.5
753.8231,175
754.4042,174

##### Extended Information
[コメント情報]
試料名,MoSe2
コメント,
測定者,Goto
所属
会社,奈良先端科学技術大学

[データ情報]
作成日時,2026/01/20 16:29

データタイプ,不等間隔データ
横軸,Raman Shift [cm-1]
縦軸,Int.
スタート,91.5759 cm-1
エンド,754.404 cm-1
データ数,1024    

[測定情報]
機種名,NRS-5100
シリアル番号,C008561420

測定日時,2026/01/20 16:29

露光時間,50 sec
積算回数,2
中心波数,440.92 cm-1
Zステージ位置,17454.8 um
ビニング上限,90
ビニング下限,149
有効チャンネル範囲,1 - 1024
Shift Speed,32.25 usecs
Amplitude,Normal
Readout Rate,100kHz at 16-bit
Pre-Amplifier Gain,1x
Mode,Conventional
CCD,DU420_OE,12

励起波長,532.05 nm
分光器,シングル
グレーティング,2400 l/mm
スリット幅,10 x 1000 um
アパーチャー,φ4000 um
リジェクションフィルター,532.0 nm
分解,0.25 cm-1, 0.65 cm-1/pixel
対物レンズ,MPLFLN 100 x
BS/DM,BS 30/70
レーザー強度,0.7 mW
減光器,5%(OD1.3)
宇宙線除去,On
CCD温度,-69.0 C

